Country,Continent,Type,Domestic primary material,Domestic Products,Virgin content consumption,Recycled content consumption,Primary material trade (imports),Primary material trade (exports),Products (imports),Products (exports),Total generated plastic waste,Waste recovered for recycling,Waste to Energy,Waste Incinerated (without energy recovery),Waste landfilled,Waste (import),Waste (Export)
Albania,Europe,Other,,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://www.instat.gov.al/en/themes/international-trade/international-trade-in-goods/,https://www.instat.gov.al/en/themes/international-trade/international-trade-in-goods/,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Algeria,Africa,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://ec.europa.eu/eurostat/databrowser/view/enps_env_wasgenm/default/table?lang=en,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Angola,Africa,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Antigua and Barbuda,North America,SIDs,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Armenia,Asia,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Azerbaijan,Asia,Other,,https://www.stat.gov.az/search/?q=waste,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://www.stat.gov.az/search/?q=waste,,https://www.stat.gov.az/search/?q=waste,,https://www.stat.gov.az/search/?q=waste,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Bahamas,North America,SIDs,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://www.bahamas.gov.bs/wps/portal/public/key statistics/economics statistics/trade and industry/!ut/p/b1/vZPJrqNIEEW_5X2Ai2SGJZh5SDCQTBuEAduMxhMYf327W9VqtUr1vCmRsUrphk7emxFYisVYOuRTfczv9XnIu7_vKZPtRLDzLZ4UOEmmgMBQAivSHqlSDBZhcYhoSzrbR9kCpkoXsqITFCspAFDzHN3PgnhJ4aSBge0Wfo8zVXQPavlEAjQ4TcIzlVUftp4OnGaLTjbFaYp-vdXXxfDb7QkNWxzE06bwyyrbbar7_KRNVPWQLsxK9HeT0BiH5RGiTFUEcg8i26msR7QNWQcHGzEqNB2ko8E7pLewqELp0byGrxKQ192FmA6NRMVPyz5_vY0mb6PgN0cA3-UAFPxn_zeCDzl-6Cc-_0P6j4QEqi0IFGerNGCAjlxLcFmNcCjwU_Cdxe9NEp8EOJa8BexvBSHAAiwGVOY3y6i_2pfXvHazDXBoN_b7CbgJ2wxB1DnwLkJovYcC4A6UIPT3CQhYT7fvB7cMPSQK0v2plZtPQHxtILkuUAXU2kBmbSC9MlAFawOJtYF_fi0MLK33_Y-56H-AHzhN0RRgGAA4niEAgYVGsvDSWZ8VOT2ISc4Wj-xmDvJLqll9115G4hxsRpfw8Ws1tFVfDI42P01ukrdca5gRmnP6AWzVC60DG4hGQMhHQkzCA9zumEo8usPE-7PnGlms7K_v9ltCGj2RN7V_Fe_lRSmz8ibS91NZ7XmQFdqp3_S98PWFQe3cVx_i4n4dedafb5IHg3a08QaR8LpHMJABLI13hIqLBxERWLvZl88EROcnvAf_xvWaLsntE5BdGehQawPxtYFrR0r9-Uj_t2MUR1EEh5OAJ1iW5jgsbBKGl276LOvwMKK7Wo1DSmi9MOuWT8vnpu8WFLtZNXSugi6t1C7k_tZQMyfWCYeH45iWXY7sOAKlxwSRc_Ev5ZbsuymKrQjknebH6tOVilcxHjudRRPJ0KBVgSEGg11OW1Sa6uayN3fMsRiMZZOnKSTd4kAKVLmcoHJLKlRncUI4_r51n-gRvWYt67dxASSl1dwQ1s65s0mxLm-wS6n0NklG7lez-PRmYzkdpU5UqwPL7h4sQfMtNvaTaVqMJx_gr0Xlm_8q-foLiflj6w!!/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,https://www.bahamas.gov.bs/wps/portal/public/key statistics/economics statistics/trade and industry/!ut/p/b1/vZPJrqNIEEW_5X2Ai2SGJZh5SDCQTBuEAduMxhMYf327W9VqtUr1vCmRsUrphk7emxFYisVYOuRTfczv9XnIu7_vKZPtRLDzLZ4UOEmmgMBQAivSHqlSDBZhcYhoSzrbR9kCpkoXsqITFCspAFDzHN3PgnhJ4aSBge0Wfo8zVXQPavlEAjQ4TcIzlVUftp4OnGaLTjbFaYp-vdXXxfDb7QkNWxzE06bwyyrbbar7_KRNVPWQLsxK9HeT0BiH5RGiTFUEcg8i26msR7QNWQcHGzEqNB2ko8E7pLewqELp0byGrxKQ192FmA6NRMVPyz5_vY0mb6PgN0cA3-UAFPxn_zeCDzl-6Cc-_0P6j4QEqi0IFGerNGCAjlxLcFmNcCjwU_Cdxe9NEp8EOJa8BexvBSHAAiwGVOY3y6i_2pfXvHazDXBoN_b7CbgJ2wxB1DnwLkJovYcC4A6UIPT3CQhYT7fvB7cMPSQK0v2plZtPQHxtILkuUAXU2kBmbSC9MlAFawOJtYF_fi0MLK33_Y-56H-AHzhN0RRgGAA4niEAgYVGsvDSWZ8VOT2ISc4Wj-xmDvJLqll9115G4hxsRpfw8Ws1tFVfDI42P01ukrdca5gRmnP6AWzVC60DG4hGQMhHQkzCA9zumEo8usPE-7PnGlms7K_v9ltCGj2RN7V_Fe_lRSmz8ibS91NZ7XmQFdqp3_S98PWFQe3cVx_i4n4dedafb5IHg3a08QaR8LpHMJABLI13hIqLBxERWLvZl88EROcnvAf_xvWaLsntE5BdGehQawPxtYFrR0r9-Uj_t2MUR1EEh5OAJ1iW5jgsbBKGl276LOvwMKK7Wo1DSmi9MOuWT8vnpu8WFLtZNXSugi6t1C7k_tZQMyfWCYeH45iWXY7sOAKlxwSRc_Ev5ZbsuymKrQjknebH6tOVilcxHjudRRPJ0KBVgSEGg11OW1Sa6uayN3fMsRiMZZOnKSTd4kAKVLmcoHJLKlRncUI4_r51n-gRvWYt67dxASSl1dwQ1s65s0mxLm-wS6n0NklG7lez-PRmYzkdpU5UqwPL7h4sQfMtNvaTaVqMJx_gr0Xlm_8q-foLiflj6w!!/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Bahrain,Asia,SIDs,https://www.data.gov.bh/explore/?disjunctive.theme&sort=modified&q=production,,,,https://www.data.gov.bh/explore/dataset/import-1-3-2024/table/?disjunctive.month&q=plastic,https://www.data.gov.bh/explore/dataset/import-1-3-2024/table/?disjunctive.month&q=plastic,https://www.data.gov.bh/explore/dataset/import-1-3-2024/table/?disjunctive.month&q=plastic,https://www.data.gov.bh/explore/dataset/import-1-3-2024/table/?disjunctive.month&q=plastic,https://www.data.gov.bh/explore/dataset/management-of-municipal-waste/table/,https://www.data.gov.bh/explore/dataset/management-of-municipal-waste/table/?refine.sub_indicator=Recycling&sort=sub_indicator,,,https://www.data.gov.bh/explore/dataset/management-of-municipal-waste/table/?sort=sub_indicator&q=landfill,https://www.data.gov.bh/explore/dataset/import-1-3-2024/table/?disjunctive.month&q=waste,https://www.data.gov.bh/explore/dataset/import-1-3-2024/table/?disjunctive.month&q=waste
Barbados,North America,SIDs,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://solid.gov.bb/waste-characterization-study/,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Belarus,Europe,Other,https://dataportal.belstat.gov.by/osids/indicator-info/10206000007,https://dataportal.belstat.gov.by/osids/indicator-info/10206000007,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://www.belstat.gov.by/en/ofitsialnaya-statistika/macroeconomy-and-environment/okruzhayuschaya-sreda/the-shared-environmental-information-system/i-waste/i1-generation-of-waste/,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Belize,Central America,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,http://sib.org.bz/wp-content/uploads/2017/05/Environmental_Statistics_2012.pdf,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Benin,Africa,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Bhutan,Asia,Other,,,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://nsb.gov.bt/wp-content/uploads/2020/10/NWIS-2019-.pdf,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Bolivia,South America,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
bosnia and herzegovina ,Europe,Other,https://ec.europa.eu/eurostat/databrowser/view/ds-056121__custom_12988136/default/table?lang=en,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://bhas.gov.ba/data/Publikacije/Saopstenja/2024/ENV_11_2022_Y4_1_BS.pdf,https://bhas.gov.ba/data/Publikacije/Saopstenja/2024/ENV_11_2022_Y4_1_BS.pdf,https://bhas.gov.ba/data/Publikacije/Saopstenja/2024/ENV_11_2022_Y4_1_BS.pdf,https://bhas.gov.ba/data/Publikacije/Saopstenja/2024/ENV_11_2022_Y4_1_BS.pdf,https://bhas.gov.ba/data/Publikacije/Saopstenja/2024/ENV_11_2022_Y4_1_BS.pdf,,,,,https://bhas.gov.ba/data/Publikacije/Saopstenja/2024/ENV_11_2022_Y4_1_BS.pdf,https://bhas.gov.ba/data/Publikacije/Saopstenja/2024/ENV_11_2022_Y4_1_BS.pdf
Botswana,Africa,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Brazil,South America,OECD,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Brunei,Asia,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Burkina Faso,Africa,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Burundi,Africa,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Cambodia,Asia,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,,
Cameroon,Africa,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Cabo Verde,Africa,SIDs,,,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,
Central African Republic,Africa,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Chad,Africa,Other,,,,,,,,,,,,,,,
Comoros,Africa,SIDs,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,
Congo (Brazzaville),Africa,Other,,,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Congo (Democratic Republic),Africa,Other,,,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Cuba,North America,SIDs,,,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Djibouti,Africa,Other,,,,,,,,,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Dominica,North America,SIDs,,,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,
Dominican Republic,North America,SIDs,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
El Salvador,Central America,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Equatorial Guinea,Africa,Other,,,,,,,,,,,,,,,
Eritrea,Africa,Other,,,,,,,,,,,,,,,
