Country,Continent,Type,Domestic primary material,Domestic Products,Virgin content consumption,Recycled content consumption,Primary material trade (imports),Primary material trade (exports),Products (imports),Products (exports),Total generated plastic waste,Waste recovered for recycling,Waste to Energy,Waste Incinerated (without energy recovery),Waste landfilled,Waste (import),Waste (Export)
South Africa,Africa,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://sawic.environment.gov.za/index.php?menu=15,https://sawic.environment.gov.za/index.php?menu=15,https://sawic.environment.gov.za/index.php?menu=15,https://sawic.environment.gov.za/index.php?menu=15,https://sawic.environment.gov.za/index.php?menu=15,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Saudi Arabia,Asia,Other,,,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Nigeria,Africa,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Egypt,Asia,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Iran,Asia,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Thailand,Asia,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Singapore,Asia,SIDs,,,,,https://statlink.enterprisesg.gov.sg/Pages/Reports/ReportGeneration.aspx,https://statlink.enterprisesg.gov.sg/Pages/Reports/ReportGeneration.aspx,https://statlink.enterprisesg.gov.sg/Pages/Reports/ReportGeneration.aspx,https://statlink.enterprisesg.gov.sg/Pages/Reports/ReportGeneration.aspx,https://www.nea.gov.sg/our-services/waste-management/waste-statistics-and-overall-recycling,https://www.nea.gov.sg/our-services/waste-management/waste-statistics-and-overall-recycling,https://www.nea.gov.sg/our-services/waste-management/waste-statistics-and-overall-recycling,https://www.nea.gov.sg/our-services/waste-management/waste-statistics-and-overall-recycling,https://www.nea.gov.sg/our-services/waste-management/waste-statistics-and-overall-recycling,https://statlink.enterprisesg.gov.sg/Pages/Reports/ReportGeneration.aspx,https://statlink.enterprisesg.gov.sg/Pages/Reports/ReportGeneration.aspx
United Arab Emirates,Asia,Other,https://opendata.fcsc.gov.ae/@ministry-energy-industry/production-refined-petroleum-products,https://opendata.fcsc.gov.ae/@ministry-energy-industry/production-refined-petroleum-products,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://opendata.fcsc.gov.ae/@federal-competitiveness-and-statistics-center/waste-statistics/r/Collected Wastes Statistics Categorized by the Emirate and Type and Amount of Waste Collected,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Ukraine,Europe,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://stat.gov.ua/en/explorer?urn=SSSU:DF_WASTE_GENERATION_MANAGEMENT_AGGREGATED_INDICATORS(6.0.0),https://stat.gov.ua/en/explorer?urn=SSSU:DF_WASTE_GENERATION_MANAGEMENT_AGGREGATED_INDICATORS(6.0.0),,https://stat.gov.ua/en/explorer?urn=SSSU:DF_WASTE_GENERATION_MANAGEMENT_AGGREGATED_INDICATORS(6.0.0),,https://stat.gov.ua/en/explorer?urn=SSSU:DF_WASTE_GENERATION_MANAGEMENT_AGGREGATED_INDICATORS(6.0.0),https://stat.gov.ua/en/explorer?urn=SSSU:DF_WASTE_GENERATION_MANAGEMENT_AGGREGATED_INDICATORS(6.0.0)
Afghanistan,Asia,Other,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
